HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"003.505",CFGLOC101800,"Central Plains Soil Temp Profile SP3, Z5 Depth","2010-01-01T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2015-02-01T00:00:00Z",,0.11,2.50,-0.46,1.00,0.00,45.00,40.816180,-104.746390,1653.88,-1.69,1.85,45.00,315.00
"003.506",CFGLOC101802,"Central Plains Soil Temp Profile SP3, Z6 Depth","2010-01-01T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.11,2.50,-0.66,1.00,0.00,45.00,,,,0.11,2.50,0.00,0.00
"003.506",CFGLOC101802,"Central Plains Soil Temp Profile SP3, Z6 Depth","2010-01-01T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2015-02-01T00:00:00Z",,0.11,2.50,-0.66,1.00,0.00,45.00,40.816180,-104.746390,1653.88,-1.69,1.85,45.00,315.00
"003.507",CFGLOC101804,"Central Plains Soil Temp Profile SP3, Z7 Depth","2010-01-01T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.11,2.50,-1.06,1.00,0.00,45.00,,,,0.11,2.50,0.00,0.00
"003.507",CFGLOC101804,"Central Plains Soil Temp Profile SP3, Z7 Depth","2010-01-01T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2015-02-01T00:00:00Z",,0.11,2.50,-1.06,1.00,0.00,45.00,40.816180,-104.746390,1653.88,-1.69,1.85,45.00,315.00
"003.508",CFGLOC101806,"Central Plains Soil Temp Profile SP3, Z8 Depth","2010-01-01T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.11,2.50,-1.56,1.00,0.00,45.00,,,,0.11,2.50,0.00,0.00
"003.508",CFGLOC101806,"Central Plains Soil Temp Profile SP3, Z8 Depth","2010-01-01T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2015-02-01T00:00:00Z",,0.11,2.50,-1.56,1.00,0.00,45.00,40.816180,-104.746390,1653.88,-1.69,1.85,45.00,315.00
"004.501",CFGLOC101817,"Central Plains Soil Water Content Profile SP4","2010-01-01T00:00:00Z",,SOILPL101809,"Central Plains Soil Plot, SP4","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.15,2.99,0.00,0.00,0.00,0.00,,,,0.15,2.99,0.00,0.00
"004.501",CFGLOC101817,"Central Plains Soil Water Content Profile SP4","2010-01-01T00:00:00Z",,SOILPL101809,"Central Plains Soil Plot, SP4","2015-02-01T00:00:00Z",,0.15,2.99,0.00,0.00,0.00,0.00,40.816433,-104.746723,1653.57,-2.01,2.22,45.00,315.00
"004.502",CFGLOC101821,"Central Plains Soil Temp Profile SP4, Z2 Depth","2010-01-01T00:00:00Z",,SOILPL101809,"Central Plains Soil Plot, SP4","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.15,2.50,-0.06,2.00,0.00,350.00,,,,0.15,2.50,0.00,0.00
"004.502",CFGLOC101821,"Central Plains Soil Temp Profile SP4, Z2 Depth","2010-01-01T00:00:00Z",,SOILPL101809,"Central Plains Soil Plot, SP4","2015-02-01T00:00:00Z",,0.15,2.50,-0.06,2.00,0.00,350.00,40.816433,-104.746723,1653.57,-1.66,1.87,45.00,315.00
"004.503",CFGLOC101823,"Central Plains Soil Temp Profile SP4, Z3 Depth","2010-01-01T00:00:00Z",,SOILPL101809,"Central Plains Soil Plot, SP4","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.15,2.50,-0.16,2.00,0.00,350.00,,,,0.15,2.50,0.00,0.00
"004.503",CFGLOC101823,"Central Plains Soil Temp Profile SP4, Z3 Depth","2010-01-01T00:00:00Z",,SOILPL101809,"Central Plains Soil Plot, SP4","2015-02-01T00:00:00Z",,0.15,2.50,-0.16,2.00,0.00,350.00,40.816433,-104.746723,1653.57,-1.66,1.87,45.00,315.00
"004.504",CFGLOC101825,"Central Plains Soil Temp Profile SP4, Z4 Depth","2010-01-01T00:00:00Z",,SOILPL101809,"Central Plains Soil Plot, SP4","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.15,2.50,-0.26,2.00,0.00,350.00,,,,0.15,2.50,0.00,0.00
"004.504",CFGLOC101825,"Central Plains Soil Temp Profile SP4, Z4 Depth","2010-01-01T00:00:00Z",,SOILPL101809,"Central Plains Soil Plot, SP4","2015-02-01T00:00:00Z",,0.15,2.50,-0.26,2.00,0.00,350.00,40.816433,-104.746723,1653.57,-1.66,1.87,45.00,315.00
"004.505",CFGLOC101827,"Central Plains Soil Temp Profile SP4, Z5 Depth","2010-01-01T00:00:00Z",,SOILPL101809,"Central Plains Soil Plot, SP4","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.15,2.50,-0.46,2.00,0.00,350.00,,,,0.15,2.50,0.00,0.00
"004.505",CFGLOC101827,"Central Plains Soil Temp Profile SP4, Z5 Depth","2010-01-01T00:00:00Z",,SOILPL101809,"Central Plains Soil Plot, SP4","2015-02-01T00:00:00Z",,0.15,2.50,-0.46,2.00,0.00,350.00,40.816433,-104.746723,1653.57,-1.66,1.87,45.00,315.00
"004.506",CFGLOC101829,"Central Plains Soil Temp Profile SP4, Z6 Depth","2010-01-01T00:00:00Z",,SOILPL101809,"Central Plains Soil Plot, SP4","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.15,2.50,-0.66,2.00,0.00,350.00,,,,0.15,2.50,0.00,0.00
"004.506",CFGLOC101829,"Central Plains Soil Temp Profile SP4, Z6 Depth","2010-01-01T00:00:00Z",,SOILPL101809,"Central Plains Soil Plot, SP4","2015-02-01T00:00:00Z",,0.15,2.50,-0.66,2.00,0.00,350.00,40.816433,-104.746723,1653.57,-1.66,1.87,45.00,315.00
"004.507",CFGLOC101831,"Central Plains Soil Temp Profile SP4, Z7 Depth","2010-01-01T00:00:00Z",,SOILPL101809,"Central Plains Soil Plot, SP4","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.15,2.50,-1.06,2.00,0.00,350.00,,,,0.15,2.50,0.00,0.00
"004.507",CFGLOC101831,"Central Plains Soil Temp Profile SP4, Z7 Depth","2010-01-01T00:00:00Z",,SOILPL101809,"Central Plains Soil Plot, SP4","2015-02-01T00:00:00Z",,0.15,2.50,-1.06,2.00,0.00,350.00,40.816433,-104.746723,1653.57,-1.66,1.87,45.00,315.00
"004.508",CFGLOC101833,"Central Plains Soil Temp Profile SP4, Z8 Depth","2010-01-01T00:00:00Z",,SOILPL101809,"Central Plains Soil Plot, SP4","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.15,2.50,-1.56,2.00,0.00,350.00,,,,0.15,2.50,0.00,0.00
"004.508",CFGLOC101833,"Central Plains Soil Temp Profile SP4, Z8 Depth","2010-01-01T00:00:00Z",,SOILPL101809,"Central Plains Soil Plot, SP4","2015-02-01T00:00:00Z",,0.15,2.50,-1.56,2.00,0.00,350.00,40.816433,-104.746723,1653.57,-1.66,1.87,45.00,315.00
"005.501",CFGLOC101844,"Central Plains Soil Water Content Profile SP5","2010-01-01T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.21,2.51,-0.01,1.00,0.00,245.00,,,,0.21,2.51,0.00,0.00
"005.501",CFGLOC101844,"Central Plains Soil Water Content Profile SP5","2010-01-01T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2015-02-01T00:00:00Z",,0.21,2.51,-0.01,1.00,0.00,245.00,40.816720,-104.747100,1653.03,-1.63,1.92,45.00,315.00
"005.502",CFGLOC101849,"Central Plains Soil Temp Profile SP5, Z2 Depth","2010-01-01T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.58,2.68,-0.07,1.00,0.00,10.00,,,,0.58,2.68,0.00,0.00
"005.502",CFGLOC101849,"Central Plains Soil Temp Profile SP5, Z2 Depth","2010-01-01T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2015-02-01T00:00:00Z",,0.58,2.68,-0.07,1.00,0.00,10.00,40.816720,-104.747100,1653.03,-1.48,2.31,45.00,315.00
"005.503",CFGLOC101851,"Central Plains Soil Temp Profile SP5, Z3 Depth","2010-01-01T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.58,2.68,-0.17,1.00,0.00,10.00,,,,0.58,2.68,0.00,0.00
"005.503",CFGLOC101851,"Central Plains Soil Temp Profile SP5, Z3 Depth","2010-01-01T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2015-02-01T00:00:00Z",,0.58,2.68,-0.17,1.00,0.00,10.00,40.816720,-104.747100,1653.03,-1.48,2.31,45.00,315.00
